No	Abbreviated Journal Title	Full Journal Title	ISSN	SUBJECT
85	ACTA MED OKAYAMA	ACTA MEDICA OKAYAMA	0386-300X	MEDICINE, RESEARCH & EXPERIMENTAL
86	ACTA METALL SIN-ENGL	ACTA METALLURGICA SINICA-ENGLISH LETTERS	1006-7191	METALLURGY & METALLURGICAL ENGINEERING
87	ACTA MICROSC	ACTA MICROSCOPICA	0798-4545	MICROSCOPY
88	ACTA NEUROCHIR	ACTA NEUROCHIRURGICA	0001-6268	CLINICAL NEUROLOGY ; SURGERY
89	ACTA NEUROL SCAND	ACTA NEUROLOGICA SCANDINAVICA	0001-6314	CLINICAL NEUROLOGY
90	ACTA NEUROPATHOL	ACTA NEUROPATHOLOGICA	0001-6322	PATHOLOGY; CLINICAL NEUROLOGY ; NEUROSCIENCES
91	ACTA OBSTET GYN SCAN	ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA	0001-6349	OBSTETRICS & GYNECOLOGY
92	ACTA ODONTOL SCAND	ACTA ODONTOLOGICA SCANDINAVICA	0001-6357	DENTISTRY, ORAL SURGERY & MEDICINE
93	ACTA OECOL	ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY	1146-609X	ECOLOGY
94	ACTA ONCOL	ACTA ONCOLOGICA	0284-186X	ONCOLOGY
95	ACTA OPHTHALMOL	ACTA OPHTHALMOLOGICA	1755-375X	OPHTHALMOLOGY
96	ACTA ORNITHOL	ACTA ORNITHOLOGICA	0001-6454	ORNITHOLOGY
97	ACTA ORTHOP	ACTA ORTHOPAEDICA	1745-3674	ORTHOPEDICS
98	ACTA OTO-LARYNGOL	ACTA OTO-LARYNGOLOGICA	0001-6489	OTORHINOLARYNGOLOGY
99	ACTA OTORHINOLARYNGO	ACTA OTORHINOLARYNGOLOGICA ITALICA	0392-100X	OTORHINOLARYNGOLOGY
100	ACTA PAEDIATR	ACTA PAEDIATRICA	0803-5253	PEDIATRICS
101	ACTA PALAEONTOL POL	ACTA PALAEONTOLOGICA POLONICA	0567-7920	PALEONTOLOGY
102	ACTA PARASITOL	ACTA PARASITOLOGICA	1230-2821	PARASITOLOGY
103	ACTA PETROL SIN	ACTA PETROLOGICA SINICA	1000-0569	GEOLOGY
104	ACTA PHARMACOL SIN	ACTA PHARMACOLOGICA SINICA	1671-4083	PHARMACOLOGY & PHARMACY; CHEMISTRY, MULTIDISCIPLINARY
105	ACTA PHYS POL A	ACTA PHYSICA POLONICA A	0587-4246	PHYSICS, MULTIDISCIPLINARY
106	ACTA PHYS POL B	ACTA PHYSICA POLONICA B	0587-4254	PHYSICS, MULTIDISCIPLINARY
107	ACTA PHYS SIN-CH ED	ACTA PHYSICA SINICA	1000-3290	PHYSICS, MULTIDISCIPLINARY
108	ACTA PHYS SLOVACA	ACTA PHYSICA SLOVACA	0323-0465	PHYSICS, MULTIDISCIPLINARY
109	ACTA PHYSIOL	ACTA PHYSIOLOGICA	1748-1708	PHYSIOLOGY
110	ACTA PHYSIOL PLANT	ACTA PHYSIOLOGIAE PLANTARUM	0137-5881	PLANT SCIENCES
111	ACTA PROTOZOOL	ACTA PROTOZOOLOGICA	0065-1583	MICROBIOLOGY
112	ACTA PSYCHIAT SCAND	ACTA PSYCHIATRICA SCANDINAVICA	0001-690X	PSYCHIATRY
113	ACTA RADIOL	ACTA RADIOLOGICA	0284-1851	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING
114	ACTA SCI-AGRON	ACTA SCIENTIARUM-AGRONOMY	1807-8621	AGRONOMY
115	ACTA SOC BOT POL	ACTA SOCIETATIS BOTANICORUM POLONIAE	0001-6977	PLANT SCIENCES
116	ACTA THERIOL	ACTA THERIOLOGICA	0001-7051	ZOOLOGY
117	ACTA TROP	ACTA TROPICA	0001-706X	PARASITOLOGY; TROPICAL MEDICINE
118	ACTA VET HUNG	ACTA VETERINARIA HUNGARICA	0236-6290	VETERINARY SCIENCES
119	ACTA VET SCAND	ACTA VETERINARIA SCANDINAVICA	0044-605X	VETERINARY SCIENCES
120	ACTA VIROL	ACTA VIROLOGICA	0001-723X	VIROLOGY
121	ACTA ZOOL-STOCKHOLM	ACTA ZOOLOGICA	0001-7272	ZOOLOGY; ANATOMY & MORPHOLOGY
122	ACUPUNCT MED	ACUPUNCTURE IN MEDICINE	0964-5284	INTEGRATIVE & COMPLEMENTARY MEDICINE
123	AD HOC NETW	AD HOC NETWORKS	1570-8705	TELECOMMUNICATIONS; COMPUTER SCIENCE, INFORMATION SYSTEMS
124	ADAPT BEHAV	ADAPTIVE BEHAVIOR	1059-7123	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE
125	ADDICT BEHAV	ADDICTIVE BEHAVIORS	0306-4603	SUBSTANCE ABUSE
126	ADDICT BIOL	ADDICTION BIOLOGY	1355-6215	BIOCHEMISTRY & MOLECULAR BIOLOGY; SUBSTANCE ABUSE
127	ADDICTION	ADDICTION	0965-2140	SUBSTANCE ABUSE; PSYCHIATRY
128	ADSORPTION	ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY	0929-5607	ENGINEERING, CHEMICAL
129	ADV AGRON	ADVANCES IN AGRONOMY	0065-2113	AGRONOMY
130	ADV ANAT EMBRYOL CEL	ADVANCES IN ANATOMY EMBRYOLOGY AND CELL BIOLOGY	0301-5556	ANATOMY & MORPHOLOGY; CELL BIOLOGY
131	ADV ANAT PATHOL	ADVANCES IN ANATOMIC PATHOLOGY	1072-4109	PATHOLOGY
132	ADV APPL CERAM	ADVANCES IN APPLIED CERAMICS	1743-6753	MATERIALS SCIENCE, CERAMICS
133	ADV APPL MATH	ADVANCES IN APPLIED MATHEMATICS	0196-8858	MATHEMATICS, APPLIED
134	ADV APPL MATH MECH	ADVANCES IN APPLIED MATHEMATICS AND MECHANICS	2070-0733	MATHEMATICS, APPLIED
135	ADV APPL MECH	ADVANCES IN APPLIED MECHANICS	0065-2156	MECHANICS; ENGINEERING, MECHANICAL
136	ADV APPL MICROBIOL	ADVANCES IN APPLIED MICROBIOLOGY	0065-2164	BIOTECHNOLOGY & APPLIED MICROBIOLOGY; MICROBIOLOGY
137	ADV APPL PROBAB	ADVANCES IN APPLIED PROBABILITY	0001-8678	STATISTICS & PROBABILITY
138	ADV ATMOS SCI	ADVANCES IN ATMOSPHERIC SCIENCES	0256-1530	METEOROLOGY & ATMOSPHERIC SCIENCES
139	ADV ATOM MOL OPT PHY	ADVANCES IN ATOMIC MOLECULAR AND OPTICAL PHYSICS	1049-250X	OPTICS; PHYSICS, ATOMIC, MOLECULAR & CHEMICAL
140	ADV BIOCHEM ENG BIOT	ADVANCES IN BIOCHEMICAL ENGINEERING-BIOTECHNOLOGY	0724-6145	BIOTECHNOLOGY & APPLIED MICROBIOLOGY
141	ADV BOT RES	ADVANCES IN BOTANICAL RESEARCH	0065-2296	PLANT SCIENCES
142	ADV CALC VAR	ADVANCES IN CALCULUS OF VARIATIONS	1864-8258	MATHEMATICS, APPLIED; MATHEMATICS
143	ADV CANCER RES	ADVANCES IN CANCER RESEARCH	0065-230X	ONCOLOGY
144	ADV CARBOHYD CHEM BI	ADVANCES IN CARBOHYDRATE CHEMISTRY AND BIOCHEMISTRY	0065-2318	CHEMISTRY, ORGANIC; BIOCHEMISTRY & MOLECULAR BIOLOGY
145	ADV CATAL	ADVANCES IN CATALYSIS	0360-0564	CHEMISTRY, PHYSICAL
146	ADV CHEM PHYS	ADVANCES IN CHEMICAL PHYSICS	0065-2385	PHYSICS, ATOMIC, MOLECULAR & CHEMICAL
147	ADV CHROMATOGR	ADVANCES IN CHROMATOGRAPHY	0065-2415	CHEMISTRY, ANALYTICAL
148	ADV CHRONIC KIDNEY D	ADVANCES IN CHRONIC KIDNEY DISEASE	1548-5595	UROLOGY & NEPHROLOGY
149	ADV CLIN CHEM	ADVANCES IN CLINICAL CHEMISTRY	0065-2423	MEDICAL LABORATORY TECHNOLOGY
150	ADV COLLOID INTERFAC	ADVANCES IN COLLOID AND INTERFACE SCIENCE	0001-8686	CHEMISTRY, PHYSICAL
151	ADV COMPLEX SYST	ADVANCES IN COMPLEX SYSTEMS	0219-5259	MULTIDISCIPLINARY SCIENCES
152	ADV COMPUT MATH	ADVANCES IN COMPUTATIONAL MATHEMATICS	1019-7168	MATHEMATICS, APPLIED
153	ADV COND MATTER PHYS	ADVANCES IN CONDENSED MATTER PHYSICS	1687-8108	PHYSICS, CONDENSED MATTER
154	ADV DATA ANAL CLASSI	ADVANCES IN DATA ANALYSIS AND CLASSIFICATION	1862-5347	STATISTICS & PROBABILITY
155	ADV DIFFERENTIAL EQU	ADVANCES IN DIFFERENTIAL EQUATIONS	1079-9389	MATHEMATICS; MATHEMATICS, APPLIED
156	ADV DRUG DELIVER REV	ADVANCED DRUG DELIVERY REVIEWS	0169-409X	PHARMACOLOGY & PHARMACY
157	ADV ECOL RES	ADVANCES IN ECOLOGICAL RESEARCH	0065-2504	ECOLOGY
158	ADV ENERGY MATER	ADVANCED ENERGY MATERIALS	1614-6832	CHEMISTRY, PHYSICAL; ENERGY & FUELS; PHYSICS, CONDENSED MATTER; PHYSICS, APPLIED; MATERIALS SCIENCE, MULTIDISCIPLINARY
159	ADV ENG INFORM	ADVANCED ENGINEERING INFORMATICS	1474-0346	ENGINEERING, MULTIDISCIPLINARY; COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE
160	ADV ENG MATER	ADVANCED ENGINEERING MATERIALS	1438-1656	MATERIALS SCIENCE, MULTIDISCIPLINARY
161	ADV ENG SOFTW	ADVANCES IN ENGINEERING SOFTWARE	0965-9978	COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS; COMPUTER SCIENCE, SOFTWARE ENGINEERING; ENGINEERING, MULTIDISCIPLINARY
162	ADV EXP MED BIOL	ADVANCES IN EXPERIMENTAL MEDICINE AND BIOLOGY	0065-2598	BIOLOGY
163	ADV FUNCT MATER	ADVANCED FUNCTIONAL MATERIALS	1616-301X	NANOSCIENCE & NANOTECHNOLOGY; MATERIALS SCIENCE, MULTIDISCIPLINARY; CHEMISTRY, MULTIDISCIPLINARY; CHEMISTRY, PHYSICAL; PHYSICS, APPLIED; PHYSICS, CONDENSED MATTER
164	ADV GENET	ADVANCES IN GENETICS	0065-2660	GENETICS & HEREDITY
165	ADV GEOPHYS	ADVANCES IN GEOPHYSICS	0065-2687	GEOSCIENCES, MULTIDISCIPLINARY
166	ADV HEALTH SCI EDUC	ADVANCES IN HEALTH SCIENCES EDUCATION	1382-4996	HEALTH CARE SCIENCES & SERVICES; EDUCATION, SCIENTIFIC DISCIPLINES
167	ADV HEALTHC MATER	ADVANCED HEALTHCARE MATERIALS	2192-2640	NANOSCIENCE & NANOTECHNOLOGY; MATERIALS SCIENCE, BIOMATERIALS; ENGINEERING, BIOMEDICAL
168	ADV HETEROCYCL CHEM	ADVANCES IN HETEROCYCLIC CHEMISTRY	0065-2725	CHEMISTRY, ORGANIC
169	ADV HIGH ENERGY PHYS	ADVANCES IN HIGH ENERGY PHYSICS	1687-7357	PHYSICS, PARTICLES & FIELDS
170	ADV IMMUNOL	ADVANCES IN IMMUNOLOGY	0065-2776	IMMUNOLOGY
171	ADV INORG CHEM	ADVANCES IN INORGANIC CHEMISTRY	0898-8838	CHEMISTRY, INORGANIC & NUCLEAR
172	ADV INSECT PHYSIOL	ADVANCES IN INSECT PHYSIOLOGY	0065-2806	ENTOMOLOGY
173	ADV MAR BIOL	ADVANCES IN MARINE BIOLOGY	0065-2881	MARINE & FRESHWATER BIOLOGY
174	ADV MATER	ADVANCED MATERIALS	0935-9648	CHEMISTRY, MULTIDISCIPLINARY; MATERIALS SCIENCE, MULTIDISCIPLINARY; CHEMISTRY, PHYSICAL; PHYSICS, CONDENSED MATTER; NANOSCIENCE & NANOTECHNOLOGY; PHYSICS, APPLIED
175	ADV MATER INTERFACES	ADVANCED MATERIALS INTERFACES	2196-7350	CHEMISTRY, MULTIDISCIPLINARY; MATERIALS SCIENCE, MULTIDISCIPLINARY
176	ADV MATH	ADVANCES IN MATHEMATICS	0001-8708	MATHEMATICS
177	ADV MICROB PHYSIOL	ADVANCES IN MICROBIAL PHYSIOLOGY	0065-2911	BIOCHEMISTRY & MOLECULAR BIOLOGY; MICROBIOLOGY
178	ADV NONLINEAR ANAL	ADVANCES IN NONLINEAR ANALYSIS	2191-9496	MATHEMATICS, APPLIED; MATHEMATICS
179	ADV NONLINEAR STUD	ADVANCED NONLINEAR STUDIES	1536-1365	MATHEMATICS; MATHEMATICS, APPLIED
180	ADV NUTR	ADVANCES IN NUTRITION	2161-8313	NUTRITION & DIETETICS
181	ADV OPT MATER	ADVANCED OPTICAL MATERIALS	2195-1071	OPTICS; MATERIALS SCIENCE, MULTIDISCIPLINARY
182	ADV OPT PHOTONICS	ADVANCES IN OPTICS AND PHOTONICS	1943-8206	OPTICS
183	ADV ORGANOMET CHEM	ADVANCES IN ORGANOMETALLIC CHEMISTRY	0065-3055	CHEMISTRY, INORGANIC & NUCLEAR; CHEMISTRY, ORGANIC
184	ADV PARASIT	ADVANCES IN PARASITOLOGY	0065-308X	PARASITOLOGY
185	ADV PHYS	ADVANCES IN PHYSICS	0001-8732	PHYSICS, CONDENSED MATTER
186	ADV PHYS ORG CHEM	ADVANCES IN PHYSICAL ORGANIC CHEMISTRY	0065-3160	CHEMISTRY, PHYSICAL; CHEMISTRY, ORGANIC
187	ADV PHYSIOL EDUC	ADVANCES IN PHYSIOLOGY EDUCATION	1043-4046	EDUCATION, SCIENTIFIC DISCIPLINES
188	ADV POLYM SCI	ADVANCES IN POLYMER SCIENCE	0065-3195	POLYMER SCIENCE
189	ADV POLYM TECH	ADVANCES IN POLYMER TECHNOLOGY	0730-6679	ENGINEERING, CHEMICAL; POLYMER SCIENCE
190	ADV POWDER TECHNOL	ADVANCED POWDER TECHNOLOGY	0921-8831	ENGINEERING, CHEMICAL
191	ADV QUANTUM CHEM	ADVANCES IN QUANTUM CHEMISTRY	0065-3276	CHEMISTRY, PHYSICAL
192	ADV SCI	ADVANCED SCIENCE	2198-3844	MATERIALS SCIENCE, MULTIDISCIPLINARY; CHEMISTRY, MULTIDISCIPLINARY; NANOSCIENCE & NANOTECHNOLOGY
193	ADV SKIN WOUND CARE	ADVANCES IN SKIN & WOUND CARE	1527-7941	SURGERY ; DERMATOLOGY; NURSING
194	ADV SPACE RES	ADVANCES IN SPACE RESEARCH	0273-1177	ASTRONOMY & ASTROPHYSICS; GEOSCIENCES, MULTIDISCIPLINARY; METEOROLOGY & ATMOSPHERIC SCIENCES
195	ADV STUD BEHAV	ADVANCES IN THE STUDY OF BEHAVIOR	0065-3454	BEHAVIORAL SCIENCES
196	ADV SYNTH CATAL	ADVANCED SYNTHESIS & CATALYSIS	1615-4150	CHEMISTRY, APPLIED; CHEMISTRY, ORGANIC
197	ADV THEOR MATH PHYS	ADVANCES IN THEORETICAL AND MATHEMATICAL PHYSICS	1095-0761	PHYSICS, PARTICLES & FIELDS; PHYSICS, MATHEMATICAL
198	ADV THER	ADVANCES IN THERAPY	0741-238X	MEDICINE, RESEARCH & EXPERIMENTAL; PHARMACOLOGY & PHARMACY
