Dergi Adı,ISSN,Dergi Puanı,Teşvik Miktarı
JOURNAL OF PROPULSION AND POWER,0748-4658,52.77,1915.96
JOURNAL OF PROFESSIONAL NURSING,8755-7223,44.93,1446.95
JOURNAL OF PROFESSIONAL ISSUES IN ENGINEERING EDUCATION AND PRACTICE,1052-3928,11.52,531.51
JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT,1938-663X,12.17,536.14
JOURNAL OF PRODUCTIVITY ANALYSIS,0895-562X,23.55,688.36
JOURNAL OF PRODUCT INNOVATION MANAGEMENT,0737-6782,85.08,5173.68
JOURNAL OF PROCESS CONTROL,0959-1524,50.75,1784.42
Journal of Primary Prevention,0278-095X,33.81,965.44
JOURNAL OF PRESSURE VESSEL TECHNOLOGY-TRANSACTIONS OF THE ASME,0094-9930,17.96,595.69
JOURNAL OF POWER SOURCES,0378-7753,77.41,4190.58
JOURNAL OF POULTRY SCIENCE,1346-7395,30.18,850.16
Journal of Power Electronics,1598-2092,10.03,522.29
Journal of Postgraduate Medicine,0022-3859,4.91,503.75
JOURNAL OF POST KEYNESIAN ECONOMICS,0160-3477,4.58,503.14
Journal of Positive Psychology,1743-9760,22.73,672.37
JOURNAL OF POSITIVE BEHAVIOR INTERVENTIONS,1098-3007,55.1,2077.78
JOURNAL OF PORTFOLIO MANAGEMENT,0095-4918,11.75,533.13
JOURNAL OF PORPHYRINS AND PHTHALOCYANINES,1088-4246,7.04,509.21
JOURNAL OF POROUS MEDIA,1091-028X,9.94,521.8
JOURNAL OF POROUS MATERIALS,1380-2224,20.58,634.56
JOURNAL OF POPULATION ECONOMICS,0933-1433,61.12,2544.18
JOURNAL OF THE POLYNESIAN SOCIETY,0032-4000,7.86,512.11
JOURNAL OF POLYMER SCIENCE PART B-POLYMER PHYSICS,0887-6266,39.39,1181.76
JOURNAL OF POLYMER RESEARCH,1022-9760,14.18,552.98
JOURNAL OF POLYMER SCIENCE PART A-POLYMER CHEMISTRY,0887-624X,29.82,839.99
JOURNAL OF POLYMER MATERIALS,0973-8622,0.86,500.05
JOURNAL OF POLYMERS AND THE ENVIRONMENT,1566-2543,19.8,622.07
JOURNAL OF POLYMER ENGINEERING,0334-6447,2.43,500.64
JOURNAL OF POLITICAL PHILOSOPHY,0963-8016,100,7500
JOURNAL OF POLITICAL ECONOMY,0022-3808,100,7500
JOURNAL OF POLITICS,0022-3816,100,7500
Journal of Policy and Practice in Intellectual Disabilities,1741-1122,32.19,911.61
JOURNAL OF POLICY MODELING,0161-8938,7.09,509.38
JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,0276-8739,100,7500
Journal of Plastic Surgery and Hand Surgery,2000-656X,12.89,541.78
Journal of Plastic Reconstructive and Aesthetic Surgery,1748-6815,30.91,871.76
JOURNAL OF PLASTIC FILM & SHEETING,8756-0879,27.64,781.16
JOURNAL OF PLASMA PHYSICS,0022-3778,24.4,705.78
JOURNAL OF PLANT RESEARCH,0918-9440,22.18,662.16
Journal of Plant Registrations,1936-5209,13.59,547.68
JOURNAL OF PLANT PHYSIOLOGY,0176-1617,27.08,767.17
JOURNAL OF PLANT PATHOLOGY,1125-4653,11.95,534.52
JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,1436-8730,45.19,1460.94
JOURNAL OF PLANT NUTRITION,0190-4167,5.88,505.86
JOURNAL OF PLANT GROWTH REGULATION,0721-7595,25.76,735.73
Journal of Plant Ecology,1752-9921,37.55,1104.76
Journal of Plant Diseases and Protection,1861-3829,31.82,899.75
JOURNAL OF PLANT BIOLOGY,1226-9239,12.49,538.59
JOURNAL OF PLANT BIOCHEMISTRY AND BIOTECHNOLOGY,0971-7811,7.35,510.27
JOURNAL OF PLANKTON RESEARCH,0142-7873,59.97,2449.44
JOURNAL OF PLANNING LITERATURE,0885-4122,91.26,6069.36
JOURNAL OF PLANNING EDUCATION AND RESEARCH,0739-456X,50.17,1747.86
Journal of Pipeline Systems Engineering and Practice,1949-1190,34.96,1005.78
JOURNAL OF PINEAL RESEARCH,0742-3098,37.86,1117.39
JOURNAL OF PHYTOPATHOLOGY,0931-1785,10.7,526.22
Journal of Physiotherapy,1836-9553,100,7500
JOURNAL OF PHYSIOLOGY-PARIS,0928-4257,20.22,628.62
JOURNAL OF PHYSIOLOGY-LONDON,0022-3751,63.53,2751.79
Journal of Physiological Sciences,1880-6546,12.96,542.29
JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY,0867-5910,16.19,573.78
JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY,1138-7548,16.05,572.21
Journal of Physiological Anthropology,1880-6791,11.64,532.33
JOURNAL OF PHYSICS-CONDENSED MATTER,0953-8984,15.06,561.61
Journal of Physical Therapy Science,0915-5287,2.87,500.97
JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN,0031-9015,7.02,509.13
JOURNAL OF PHYSICAL ORGANIC CHEMISTRY,0894-3230,15.96,571.27
JOURNAL OF PHYSICAL OCEANOGRAPHY,0022-3670,57.95,2289.25
JOURNAL OF PHYSICS G-NUCLEAR AND PARTICLE PHYSICS,0954-3899,34.84,1001.45
JOURNAL OF PHYSICS D-APPLIED PHYSICS,0022-3727,16.7,579.83
JOURNAL OF PHYSICS AND CHEMISTRY OF SOLIDS,0022-3697,9.85,521.32
JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA,0047-2689,29.27,824.51
Journal of Physical Chemistry Letters,1948-7185,100,7500
Journal of Physical Chemistry C,1932-7447,28.41,801.15
JOURNAL OF PHYSICAL CHEMISTRY B,1520-6106,19.94,624.35
JOURNAL OF PHYSICAL CHEMISTRY A,1089-5639,43.51,1373.91
JOURNAL OF PHYSICS B-ATOMIC MOLECULAR AND OPTICAL PHYSICS,0953-4075,38.97,1163.44
Journal of Physical Activity & Health,1543-3080,40.31,1222.28
Journal of Physics A-Mathematical and Theoretical,1751-8113,37.94,1120.84
JOURNAL OF PHYCOLOGY,0022-3646,57.39,2246.47
JOURNAL OF PHOTOPOLYMER SCIENCE AND TECHNOLOGY,0914-9244,4.81,503.55
Journal of Photonics for Energy,1947-7988,13.6,547.74
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,1389-5567,76.2,4047.85
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,1011-1344,20.07,626.38
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY,1010-6030,10.31,523.91
JOURNAL OF THE PHILOSOPHY OF SPORT,0094-8705,1.88,500.34
JOURNAL OF PHILOSOPHY OF EDUCATION,0309-8249,31.83,900
JOURNAL OF PHASE EQUILIBRIA AND DIFFUSION,1547-7037,26.58,754.9
JOURNAL OF PHARMACOLOGICAL AND TOXICOLOGICAL METHODS,1056-8719,24.51,708.11
JOURNAL OF PHARMACOLOGICAL SCIENCES,1347-8613,17.49,589.58
JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,0022-3565,37.38,1097.84
JOURNAL OF PHARMACOKINETICS AND PHARMACODYNAMICS,1567-567X,14.79,558.92
JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS,0731-7085,40.61,1235.45
JOURNAL OF PHARMACEUTICAL SCIENCES,0022-3549,47.96,1615.19
JOURNAL OF PHARMACY AND PHARMACOLOGY,0022-3573,17.36,587.84
JOURNAL OF PHARMACY AND PHARMACEUTICAL SCIENCES,1482-1826,18.41,601.86
Journal of Pharmaceutical Innovation,1872-5120,6.97,508.98
JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING,0920-4105,66.82,3054.41
JOURNAL OF PETROLEUM GEOLOGY,0141-6421,18.85,608.02
JOURNAL OF PETROLOGY,0022-3530,75.41,3956.75
JOURNAL OF PESTICIDE SCIENCE,1348-589X,11.18,529.24
JOURNAL OF PEST SCIENCE,1612-4758,42.34,1316.39
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,0022-3514,100,7500
Journal of Personnel Psychology,1866-5888,30.72,866.14
JOURNAL OF PERSONALITY DISORDERS,0885-579X,42.23,1311.03
JOURNAL OF PERSONALITY ASSESSMENT,0022-3891,45.03,1452.57
JOURNAL OF PERSONALITY,0022-3506,72.42,3623.87
JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM,1085-9489,37.74,1112.41
JOURNAL OF PERIODONTOLOGY,0022-3492,84.18,5050.94
JOURNAL OF PERIODONTAL RESEARCH,0022-3484,62.78,2685.91
Journal of Periodontal and Implant Science,2093-2278,35.29,1018.03
Journal of Perinatology,0743-8346,47.29,1576.77
JOURNAL OF PERINATAL & NEONATAL NURSING,0893-2190,40.75,1241.85
JOURNAL OF PERINATAL MEDICINE,0300-5577,34.14,976.88
Journal of PeriAnesthesia Nursing,1089-9472,37.76,1113.36
JOURNAL OF PERFORMANCE OF CONSTRUCTED FACILITIES,0887-3828,28.4,800.81
JOURNAL OF PEPTIDE SCIENCE,1075-2617,29.7,836.43
Journal of Pension Economics & Finance,1474-7472,31.2,880.52
JOURNAL OF PEDIATRICS,0022-3476,100,7500
Journal of Pediatric Urology,1477-5131,19.47,617.14
JOURNAL OF PEDIATRIC SURGERY,0022-3468,32.04,906.69
JOURNAL OF PEDIATRIC PSYCHOLOGY,0146-8693,47.3,1577.18
JOURNAL OF PEDIATRIC ORTHOPAEDICS,0271-6798,41.13,1259.48
JOURNAL OF PEDIATRIC ORTHOPAEDICS-PART B,1060-152X,14.02,551.52
Journal of Pediatric Oncology Nursing,1043-4542,64.03,2796.44
Journal of Pediatric Nursing-Nursing Care of Children & Families,0882-5963,40.97,1252.08
Journal of Pediatric Health Care,0891-5245,86.57,5380.69
JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,0277-2116,50.79,1786.86
JOURNAL OF PEDIATRIC ENDOCRINOLOGY & METABOLISM,0334-018X,15.07,561.67
Journal of Pediatric and Adolescent Gynecology,1083-3188,35.26,1016.89
Jornal de Pediatria,0021-7557,18.09,597.46
JOURNAL OF PEDIATRIC OPHTHALMOLOGY & STRABISMUS,0191-3913,13.09,543.41
JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY,1077-4114,21.71,653.74
JOURNAL OF PEASANT STUDIES,0306-6150,100,7500
JOURNAL OF PEACE RESEARCH,0022-3433,100,7500
Journal of Patient Safety,1549-8417,25.7,734.32
JOURNAL OF PATHOLOGY,0022-3417,96.8,6952.77
Journal of Parkinsons Disease,1877-7171,11.84,533.77
JOURNAL OF PARASITOLOGY,0022-3395,15.44,565.54
JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,0743-7315,23.44,686.19
JOURNAL OF PALLIATIVE MEDICINE,1096-6218,43.03,1350.11
JOURNAL OF PALLIATIVE CARE,0825-8597,20.26,629.36
JOURNAL OF PALESTINE STUDIES,0377-919X,36.46,1061.99
JOURNAL OF PALEONTOLOGY,0022-3360,43.59,1378.28
JOURNAL OF PALEOLIMNOLOGY,0921-2728,33.72,962.35
JOURNAL OF THE PALAEONTOLOGICAL SOCIETY OF INDIA,0552-9360,0.48,500.01
JOURNAL OF THE PAKISTAN MEDICAL ASSOCIATION,0030-9982,1.78,500.3
JOURNAL OF PAIN AND SYMPTOM MANAGEMENT,0885-3924,59.25,2391.45
JOURNAL OF PAIN,1526-5900,59.69,2426.58
JOURNAL OF PAEDIATRICS AND CHILD HEALTH,1034-4810,28.49,803.19
Journal of Pacific Rim Psychology,1834-4909,3.34,501.43
Journal of Ovonic Research,1842-2403,2.83,500.95
Journal of Ovarian Research,1757-2215,38.02,1123.85
Journal of Otolaryngology-Head & Neck Surgery,1916-0216,25.92,739.48
JOURNAL OF ORTHOPAEDIC TRAUMA,0890-5339,58.2,2308.72
Journal of Orthopaedic Surgery,1022-5536,18.13,597.91
Journal of Orthopaedic Surgery and Research,1749-799X,36.91,1079.35
JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,0190-6011,100,7500
JOURNAL OF ORTHOPAEDIC SCIENCE,0949-2658,24.71,712.45
JOURNAL OF ORTHOPAEDIC RESEARCH,0736-0266,71.49,3525.43
JOURNAL OF OROFACIAL PAIN,1064-6655,69.07,3275.07
Journal of Orofacial Orthopedics-Fortschritte der Kieferorthopadie,1434-5293,29.11,819.97
JOURNAL OF ORNITHOLOGY,0021-8375,46.99,1559.76
JOURNAL OF ORGANOMETALLIC CHEMISTRY,0022-328X,26.74,758.86
Journal of Organizational and End User Computing,1546-2234,11.83,533.71
JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,0953-4814,9.56,519.79
JOURNAL OF ORGANIZATIONAL BEHAVIOR MANAGEMENT,0160-8061,7.12,509.46
JOURNAL OF ORGANIZATIONAL BEHAVIOR,0894-3796,91.64,6126.9
JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE,1091-9392,7.81,511.94
JOURNAL OF ORGANIC CHEMISTRY,0022-3263,52.11,1872.23
Journal of Oral Science,1343-4934,26.88,762.13
JOURNAL OF ORAL REHABILITATION,0305-182X,58.01,2294.3
JOURNAL OF ORAL PATHOLOGY & MEDICINE,0904-2512,49.19,1687.85
JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,0278-2391,50.41,1762.69
Journal of Oral Implantology,0160-6972,36,1044.47
Journal of Oral & Facial Pain and Headache,2333-0384,15.72,568.59
JOURNAL OF OPTOELECTRONICS AND ADVANCED MATERIALS,1454-4164,2.51,500.7
JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS,0022-3239,43.8,1388.92
Journal of Optics,2040-8978,20.09,626.66
JOURNAL OF OPTICAL TECHNOLOGY,1070-9762,1.75,500.28
Journal of the Optical Society of Korea,1226-4776,5.33,504.59
JOURNAL OF THE OPTICAL SOCIETY OF AMERICA B-OPTICAL PHYSICS,0740-3224,21.13,643.72
JOURNAL OF THE OPTICAL SOCIETY OF AMERICA A-OPTICS IMAGE SCIENCE AND VISION,1084-7529,14.79,558.92
Journal of Optical Communications and Networking,1943-0620,37.81,1115.37
Journal of Ophthalmology,2090-004X,27.56,779.03
JOURNAL OF OPERATOR THEORY,0379-4024,23.63,689.9
Journal of Operational Risk,1744-6740,7.15,509.56
JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,0160-5682,25.84,737.5
Journal of Operational Oceanography,1755-876X,20.92,640.11
JOURNAL OF OPERATIONS MANAGEMENT,0272-6963,100,7500
Journal of Oleo Science,1345-8957,21.77,654.73
Journal of Oil Palm Research,1511-2780,6.1,506.44
JOURNAL OF OFFSHORE MECHANICS AND ARCTIC ENGINEERING-TRANSACTIONS OF THE ASME,0892-7219,38.99,1164.4
Journal of Official Statistics,0282-423X,11.92,534.31
JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS,1080-7683,22.78,673.29
JOURNAL OF OCEANOGRAPHY,0916-8370,28.61,806.43
Journal of Ocean University of China,1672-5182,6.46,507.44
JOURNAL OF OCCUPATIONAL REHABILITATION,1053-0487,70.95,3468.4
JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY,0963-1798,60.92,2527.4
Journal of Occupational Medicine and Toxicology,1745-6673,31.07,876.69
